음식점 이름,음식점 주소,전화번호,태그,특징,상세페이지 주소,좌표,lat,lon,평일오픈시간,평일클로즈시간,주말오픈시간,주말클로즈시간,img,주차시설,가성비,반려동물동반,위생,로컬 맛집,조용한,좋은 분위기,오션뷰,뷰가 좋은,theme,리뷰,id
카페콜라,제주특별자치도 제주시 한림읍 일주서로 5857,0507-1408-9969,"데이트, 간식","오션뷰, 바다뷰, 야외테라스, 바다가보이는, 주차",https://www.diningcode.com/profile.php?rid=3QcGaLXI8JaQ,"{'lat': '33.4433186555705', 'lng': '126.291921050493'}",33.44331866,126.2919211,10:00,18:00,10:00,18:00,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/cac0d3e4-d417-4b95-9e79-14b218786957.jpg,True,False,False,False,False,False,False,True,True,"#콜라 #체리콕 #고르곤졸라피자
#커피콕 #음식 #커피 #아메리카노 #카푸치노 #카페라떼 #카페모카 #에스프레소 #카라멜마끼아또 #초코라떼 #녹차라떼 #고구마라떼 #프라페 #에이드 #레몬에이드 #블루베리레몬에이드 #딸기스무디 #스무디 #망고스무디 #블루베리스무디 #주스 #토마토주스 #딸기주스 #키위주스 #팥빙수 #케이크 #티라미수 #허니브레드 #브라우니",68.2,10
애월더선셋,제주특별자치도 제주시 애월읍 일주서로 6111,0507-1403-5943,"데이트, 차모임","예쁜, 오션뷰, 아침식사, 점심식사, 테라스, 야외테라스, 무료주차",https://www.diningcode.com/profile.php?rid=ZqdNUpDNQQsK,"{'lat': '33.456132750896', 'lng': '126.308883099393'}",33.45613275,126.3088831,10:00,20:00,10:00,20:00,https://api.cdn.visitjeju.net/photomng/imgpath/202201/10/25d4e1c3-36c5-4a68-83c0-1574de4b40fc.jpg,True,False,False,False,False,False,False,True,True,"#카페 #커피 #브런치
#음식 #토스트 #아메리카노 #에이드 #과일주스 #카페라떼 #카푸치노 #에스프레소콘파냐 #카라멜마끼아또 #바닐라라떼 #아인슈페너 #토피넛라떼 #라떼 #차 #밀크티 #말차라떼 #딸기라떼 #초코라떼 #생과일주스 #자몽에이드 #요거트스무디 #블루베리요거트스무디 #망고스무디 #스무디 #프라페 #오므라이스 #떡갈비",116.2,11
우도왕자,제주특별자치도 제주시 우도면 우도해안길 252,010-4049-3303,"생방송아침이좋다, 배틀트립, 간식, 데이트","캐주얼한, 원조, 무료주차",https://www.diningcode.com/profile.php?rid=zCk6x47q1OVf,"{'lat': '33.5026665933324', 'lng': '126.94374024047'}",33.50266659,126.9437402,8:30,18:00,8:30,18:00,https://api.cdn.visitjeju.net/photomng/imgpath/202110/25/6edc06df-63e3-40f3-97ec-574ea002b6c3.jpg,True,False,False,False,False,False,True,False,False,"#카페 #아이스크림 #한라봉아이스크림
#음식 #우도 #디저트 #소프트아이스크림",73.3,12
앤트러사이트제주한림점,제주특별자치도 제주시 한림읍 한림로 564,,"데이트, 간식","이국적/이색적, 예쁜, 정원, 반려동물동반, 무료주차",https://www.diningcode.com/profile.php?rid=DYdTKLcPa1dN,"{'lat': '33.4078960376911', 'lng': '126.258229753232'}",33.40789604,126.2582298,9:00,18:00,9:00,18:00,https://api.cdn.visitjeju.net/photomng/imgpath/202407/23/5e453d22-7dcc-40f1-bd3c-d1c15da0cf0a.jfif,True,False,True,False,False,False,False,False,True,"#제주카페 #제주여행 #제주대형카페
#뷰맛집 #제주서쪽가볼만한곳 #제주커피 #제주빵집",116.1,13
바다다,제주특별자치도 서귀포시 대포로 148-15,0507-1440-2893,"데이트, 간식","예쁜, 오션뷰, 점심식사, 저녁식사, 정원, 야외자리, 무료주차",https://www.diningcode.com/profile.php?rid=BIgiLt9QoVvS,"{'lat': '33.236914817749', 'lng': '126.436742538765'}",33.23691482,126.4367425,10:00,1:00,10:00,1:00,https://api.cdn.visitjeju.net/photomng/imgpath/202407/23/2f4a5101-1f82-441b-8250-68da7d43fbe6.jpg,True,False,False,False,False,False,False,True,True,"#제주도 #제주여행 #제주카페
#제주오션뷰 #오션뷰 #제주 #제주커피 #제주빵 #빵지순례",97.6,14
월정리로와,제주특별자치도 제주시 구좌읍 해맞이해안로 472,064-783-2240,"혼카페, 데이트코스","예쁜, 오션뷰, 점심식사, 테라스, 바다가보이는, 무료주차",https://www.diningcode.com/profile.php?rid=ORqSACmnumKI,"{'lat': '33.5551686256419', 'lng': '126.796877749573'}",33.55516863,126.7968777,9:00,21:00,9:00,21:00,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/11cf2b9a-d264-4a10-bb09-52c7345187f7.jpg,True,False,False,False,False,False,False,True,True,"#카페 #커피 #케이크
#음식 #아메리카노 #토스트 #스무디 #딸기스무디 #에스프레소 #카페라떼 #카푸치노 #카페모카 #바닐라라떼 #헤이즐넛라떼 #카라멜마끼아또 #아포가토 #라떼 #차 #청귤차 #자몽차 #레몬차 #얼그레이 #아이스티 #복숭아아이스티 #레몬아이스티 #에이드 #자몽에이드 #말차라떼 #초코라떼 #고구마라떼 #치즈케이크 #티라미수 #아이스크림",75.9,15
풍림다방송당점,제주특별자치도 제주시 구좌읍 중산간동로 2267-4,1811-5775,"수요미식회, 차모임, 데이트","예쁜, 캐주얼한, 점심식사, 정원, 무료주차",https://www.diningcode.com/profile.php?rid=m59PxigFsyNx,"{'lat': '33.4718737008442', 'lng': '126.785710834013'}",33.4718737,126.7857108,10:30,18:00,10:30,18:00,https://api.cdn.visitjeju.net/photomng/imgpath/202301/26/06298def-3735-4baf-beca-1e21bc3a35c1.jpg,True,False,False,False,False,False,True,False,True,"#브뤠베 #커피 #카페
#음식 #아메리카노 #에스프레소 #주스 #과일주스 #더치커피 #더치라떼 #콜드브루 #차 #유자차 #아이스티 #쌍화차 #아포가토 #아이스크림 #소프트아이스크림 #핸드드립커피 #드립커피",112.4,16
블랑로쉐,제주특별자치도 제주시 우도면 우도해안길 783,0507-1398-9154,"데이트, 차모임","경관/야경이좋은, 오션뷰, 점심식사, 야외테라스, 바다가보이는, 무료주차",https://www.diningcode.com/profile.php?rid=dcw4MqZmi3QG,"{'lat': '33.5156850528603', 'lng': '126.957909833043'}",33.51568505,126.9579098,11:00,17:30,11:00,17:30,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/9607a7be-2bdb-40f1-a872-2d727b8fd65e.jpg,True,False,False,False,False,False,False,True,True,"#카페 #크림라떼 #케이크
#음료 #음식 #아이스크림 #아메리카노 #우도 #잼 #치즈케이크 #카페라떼 #라떼 #에이드 #레몬에이드 #땅콩",135.1,17
카페마니,제주특별자치도 제주시 구좌읍 해맞이해안로 1112,0507-1312-4835,"데이트, 혼카페","예쁜, 오션뷰, 야외테라스, 바다가보이는, 주차",https://www.diningcode.com/profile.php?rid=a0RcwzLU1RlV,"{'lat': '33.5373167835741', 'lng': '126.837299953155'}",33.53731678,126.8373,11:00,18:00,11:00,18:00,https://api.cdn.visitjeju.net/photomng/imgpath/202110/25/dc01f92d-8cb8-498b-823f-1ea943dd1afd.jpg,True,False,False,False,False,False,False,True,True,"#카페 #커피 #아메리카노
#음식 #에스프레소 #카페라떼 #차 #에이드 #과일주스 #2022고메페스타 #카라멜라떼 #바닐라라떼 #카페모카 #페퍼민트 #얼그레이 #국화차 #와인 #화이트와인 #레드와인 #술 #빵 #사과파이 #크로아상 #레몬에이드 #요거트스무디 #딸기요거트스무디 #블루베리요거트스무디 #망고스무디 #스무디 #밀크티라떼 #녹차라떼 #핫초코 #아이스티 #복숭아아이스티 #라떼",72.5,18
치치퐁,제주특별자치도 서귀포시 안덕면 사계남로216번길 24-62,010-9536-1322,"간식, 아이와함께","예쁜, 아기, 반려동물동반, 무료주차",https://www.diningcode.com/profile.php?rid=z2pc4oWeF4nI,"{'lat': '33.2352550428842', 'lng': '126.313400075952'}",33.23525504,126.3134001,10:30,17:20,10:30,17:20,https://api.cdn.visitjeju.net/photomng/imgpath/202111/01/6cf25f59-00f5-46cc-bd06-9e0e7e9ef3f6.jpg,True,False,True,False,False,False,False,False,False,"#아이스크림 #토끼아이스크림 #카페
#음식 #디저트 #소프트아이스크림 #바닐라아이스크림 #초코아이스크림",76.9,19
살롱드라방,제주특별자치도 제주시 애월읍 하가로 146-9,070-7797-3708,"데이트, 간식","조용한, 예쁜, 테라스, 정원, 무료주차",https://www.diningcode.com/profile.php?rid=AndA9TcTBdjo,"{'lat': '33.4578619706637', 'lng': '126.348954433949'}",33.45786197,126.3489544,9:30,17:30,9:30,17:30,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/4497e8b9-a673-45ea-be4e-2cff775f9201.jpg,True,False,False,False,False,True,False,False,True,"#카페 #팬케이크 #브런치
#음식 #아메리카노 #에스프레소 #카페라떼 #케이크 #에스프레소콘파냐 #바닐라라떼 #비엔나커피 #크림라떼 #라떼 #에이드 #레몬에이드 #자몽에이드 #아이스티 #주스 #차 #레몬생강차 #자몽차 #레몬차 #핫초코 #아이스초코 #치즈케이크 #샐러드 #토스트 #빵",78.6,20
카페세바,제주특별자치도 제주시 조천읍 선흘동2길 20-7,0507-1346-1235,"데이트, 간식","예쁜, 조용한, 정원, 넓은테이블",https://www.diningcode.com/profile.php?rid=L1I4K6YvyF17,"{'lat': '33.5132217696454', 'lng': '126.706034023144'}",33.51322177,126.706034,11:00,18:00,11:00,18:00,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/612e8dc0-fcf2-4e9b-9df0-8f974797f95e.jpg,False,False,False,False,False,True,False,False,True,"#카페 #곡물라떼 #보리빵
#자몽아이스티 #음식 #빵 #아메리카노 #카페라떼 #카페모카 #카푸치노 #핫초코 #라떼 #더치라떼 #에이드 #레몬에이드 #아이스티 #찰보리빵",78.5,21
피어22,제주특별자치도 제주시 한림읍 금능7길 22,0507-1372-7788,"데이트, 가족외식","캐주얼한, 예약, 점심식사, 저녁식사, 반려동물동반, 예약가능, 무료주차",https://www.diningcode.com/profile.php?rid=NCpRIL0sPXFq,"{'lat': '33.3899337557551', 'lng': '126.227779692012'}",33.38993376,126.2277797,11:00,22:00,11:00,22:00,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/66626ca5-dd47-40ae-8f17-cd8d6f107629.jpg,True,False,True,False,False,False,True,False,False,"#해산물찜 #해산물 #딱새우
#음식 #전복죽 #감바스 #빵 #딱새우찜 #랍스터 #새우 #문어 #전복 #꽃게 #뿔소라 #라면 #새우라면 #술 #산미구엘",98.4,22
유동커피,제주특별자치도 서귀포시 태평로 406-2,064-733-6662,"혼카페, 차모임","캐주얼한, 빈티지, 저녁식사, 테라스, 테이크아웃",https://www.diningcode.com/profile.php?rid=tIJu73H8nneT,"{'lat': '33.2444362851638', 'lng': '126.563832876088'}",33.24443629,126.5638329,8:00,22:00,8:00,22:00,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/280a0174-ebff-425e-9fe7-ad3dce4ef42b.jpg,False,False,False,False,False,False,True,False,True,"#제주커피 #제주카페 #제주도카페
#유동커피 #제주맛집 #제주라떼 #라떼 #제주유동커피 #커피",138.3,23
웅스키친,제주특별자치도 제주시 대동길 17-1,0507-1340-1177,데이트,"예쁜, 깔끔한, 점심식사, 저녁식사, 무료주차",https://www.diningcode.com/profile.php?rid=5YVZfmAveIS0,"{'lat': '33.49323330835', 'lng': '126.463542293077'}",33.49323331,126.4635423,11:30,19:30,11:30,19:30,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/c45ba61e-80de-4d51-b49c-f53ca3e39747.jpg,True,False,False,True,False,False,False,False,False,"#스테이크 #치아바타 #샌드위치
#파스타 #음식 #함박스테이크 #크림파스타 #버섯크림파스타 #새우크림파스타 #볼로네제파스타 #푸타네스카스파게티 #새우샌드위치 #버섯샌드위치 #아메리카노 #레몬에이드 #에이드 #유자에이드 #술 #와인 #레드와인 #하우스와인",80.6,24
초밥공장,제주특별자치도 제주시 구좌읍 월정3길 53-4,0507-1344-4540,"데이트, 혼밥","가성비좋은, 예약, 점심식사, 저녁식사, 바테이블, 무료주차",https://www.diningcode.com/profile.php?rid=Ch6yqTl1hzHr,"{'lat': '33.5561033720629', 'lng': '126.794838685602'}",33.55610337,126.7948387,11:30,20:30,11:30,20:30,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/94fe4d73-fde3-470a-8d54-60747f73d04f.png,True,True,False,False,False,False,False,False,False,"#돔베고기샌드위치 #당감사 #카페
#브런치 #음식 #샌드위치 #햄버거 #수제버거 #프렌치토스트 #치킨버거 #샐러드 #리코타치즈샐러드 #치킨샐러드 #아이스크림 #에스프레소 #아메리카노 #카페라떼 #카푸치노 #바닐라라떼 #라떼 #에이드 #블루베리레몬에이드 #망고에이드 #유자에이드",81.6,25
메종드쁘띠푸르,제주특별자치도 제주시 신설로7길 3,064-702-0919,"식신로드, 간식, 혼카페","이국적/이색적, 예쁜, 정원, 무료주차",https://www.diningcode.com/profile.php?rid=Pdf8H22G0j2N,"{'lat': '33.492384640084', 'lng': '126.543421685824'}",33.49238464,126.5434217,8:00,22:00,8:00,22:00,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/5968bd1f-95ac-4ef9-aabb-fc42d02b0f0a.jpeg,True,False,False,False,False,False,False,False,True,"#빵집 #베이커리 #파이
#타르트 #음식 #빵 #감바스 #파스타 #크림파스타 #샌드위치 #토스트 #에스프레소 #아메리카노 #카페라떼 #카푸치노 #카라멜마끼아또 #카페모카 #바닐라라떼 #샤케라또 #고구마라떼 #녹차라떼 #밀크티 #초코라떼 #민트초코라떼 #아이스티 #복숭아아이스티 #레몬아이스티 #딸기라떼 #라떼 #스무디 #딸기스무디 #차 #레몬생강차 #오미자차 #국화차 #페퍼민트 #카모마일 #레몬그라스 #홍차 #유자차",73.0,26
바람벽에흰당나귀,제주특별자치도 제주시 구좌읍 동복로 11,064-782-8611,"차모임, 데이트","조용한, 오션뷰, 바다가보이는, 무료주차",https://www.diningcode.com/profile.php?rid=FhxL81SezenF,"{'lat': '33.5538548470112', 'lng': '126.707595058211'}",33.55385485,126.7075951,10:00,20:00,10:00,20:00,https://api.cdn.visitjeju.net/photomng/imgpath/202203/11/677a9c6f-8435-49cd-8b39-79d9fbbb3dcb.jpg,True,False,False,False,False,True,False,True,False,"#카페 #음료 #주스
#말차빙수 #음식 #아메리카노 #카페라떼 #카페모카 #바닐라라떼 #카푸치노 #눈꽃빙수 #에스프레소 #카라멜마끼아또 #비엔나커피 #바닐라빈라떼 #아포가토 #샤케라또 #녹차라떼 #홍차라떼 #고구마라떼 #핫초코 #아이스초코 #라떼 #팥빙수 #녹차팥빙수 #차 #매실차 #유자차 #레몬차 #자몽차 #에이드 #레몬에이드 #자몽에이드 #스무디 #허브티 #카모마일 #페퍼민트 #루이보스 #키위주스 #딸기주스 #케이크 #치즈케이크 #브라우니 #와플 #리에주와플 #에스프레소콘파냐 #에스프레소마키아또",94.7,27
서광춘희,제주특별자치도 서귀포시 안덕면 화순서동로 367,064-792-8911,"배틀트립, 혼밥, 데이트","깔끔한, 시원, 점심식사, 저녁식사, 야외테라스, 정원, 무료주차",https://www.diningcode.com/profile.php?rid=gBitGmUuhHJH,"{'lat': '33.2833262596429', 'lng': '126.331626580766'}",33.28332626,126.3316266,11:00,20:00,11:00,20:00,https://api.cdn.visitjeju.net/photomng/imgpath/202110/28/dea43b5e-fe00-4959-a658-597a528ea60b.jpg,True,False,False,True,False,False,False,False,True,"#꼬치커틀렛 #춘희면 #성게
#한식 #음식 #성게비빔밥 #새우튀김 #가츠동 #해물라면 #라면 #새우라면 #술 #사케 #마루(사케) #생맥주 #차 #커피 #유자차 #청귤차 #레몬에이드 #에이드 #허브티 #홍차 #녹차",74.4,28
마마롱,제주특별자치도 제주시 애월읍 평화로 2783,064-747-1074,"차모임, 데이트","예쁜, 크리스마스, 테라스, 테이크아웃, 무료주차",https://www.diningcode.com/profile.php?rid=MjH8q8B6t40v,"{'lat': '33.4521567767768', 'lng': '126.439180967033'}",33.45215678,126.439181,10:00,19:00,10:00,19:00, https://api.cdn.visitjeju.net/photomng/thumbnailpath/202111/01/cd43d6b7-c246-47c7-b76f-624e3c829593.jpg,True,False,False,False,False,False,False,False,True,"#카페 #디저트 #커피
#에끌레어 #음식 #빵 #아메리카노 #에이드 #에스프레소 #2022고메페스타 #베이커리 #케이크 #티라미수 #카페라떼 #카푸치노 #바닐라라떼 #라떼 #차 #카모마일 #페퍼민트 #장미차 #허브티 #녹차 #얼그레이 #말차라떼 #미숫가루라떼 #초코라떼 #청포도에이드",91.0,29
망고홀릭제주본점,제주 제주시 삼무로5길 2,064-746-8778,"vj특공대, 간식, 차모임","이국적/이색적, 시원, 점심식사, 테이크아웃, 무료주차",https://www.diningcode.com/profile.php?rid=RnHxrzAsQDJa,"{'lat': '33.4907168024438', 'lng': '126.491955173426'}",33.4907168,126.4919552,10:00,22:00,10:00,22:00,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/c8dcf615-bf34-45c0-9f6a-f187ddc1b45a.jpg,True,False,False,False,False,False,False,False,False,"#망고 #카페 #퓨전음식디저트
#신선로코코넛빙수 #망고홀릭디저트 #음식 #망고빙수 #망고스무디 #망고에이드 #망고주스 #망고요거트 #애플망고스무디 #팥빙수 #눈꽃빙수 #아메리카노 #에스프레소 #카페모카 #카페라떼 #카푸치노 #카라멜라떼 #바닐라라떼 #아인슈페너 #연유라떼 #라떼 #차 #레몬차 #자몽차 #모과차 #유자차 #에이드 #레몬에이드 #자몽에이드",82.6,30
북촌에가면,제주특별자치도 제주시 조천읍 북촌5길 6,064-752-1507,"차모임, 데이트코스","예쁜, 사진찍기좋은, 정원, 반려동물동반, 무료주차",https://www.diningcode.com/profile.php?rid=Jk5aSFxHWIxR,"{'lat': '33.5480193693616', 'lng': '126.692589686957'}",33.54801937,126.6925897,11:00,17:00,11:00,17:00,https://api.cdn.visitjeju.net/photomng/imgpath/201810/22/ddf472c8-3e25-4d13-ab4f-74451e7e6b36.JPG,True,False,True,False,False,False,False,False,True,"#카페 #커피 #디저트
#정원 #음식 #청귤차 #카페라떼 #아메리카노 #녹차라떼 #아포가토 #라떼 #그린티라떼 #차 #허브티 #에이드 #패션후르츠에이드 #딸기라떼 #카푸치노 #바닐라라떼 #헤이즐넛라떼 #카라멜마끼아또 #카페모카 #아인슈페너",71.8,31
신촌덕인당,제주특별자치도 제주시 조천읍 신북로 36,064-783-6153,"수요미식회, 배틀트립, 간식","서민적인, 무료주차",https://www.diningcode.com/profile.php?rid=U6s4sjixx2fj,"{'lat': '33.5322191412442', 'lng': '126.618610076075'}",33.53221914,126.6186101,9:00,17:30,9:00,17:30,https://api.cdn.visitjeju.net/photomng/imgpath/202111/01/43024156-f68f-48cb-be57-c451ba08183b.jpg,True,True,False,False,False,False,False,False,False,"#보리빵 #쑥빵 #팥보리빵
#음식 #빵 #팥빵",69.8,32
와랑와랑,제주특별자치도 서귀포시 남원읍 위미중앙로300번길 28,070-4656-1761,"데이트, 간식","예쁜, 깔끔한, 정원, 반려동물동반, 무료주차",https://www.diningcode.com/profile.php?rid=9vh8lHX0nu45,"{'lat': '33.2722874511594', 'lng': '126.676554268674'}",33.27228745,126.6765543,11:00,18:00,11:00,18:00,https://api.cdn.visitjeju.net/photomng/imgpath/201804/30/8d853cb5-46fc-4539-9191-32fd97f6cd40.jpg,True,False,True,True,False,False,False,False,True,"#카페 #영귤차 #영귤에이드
#감귤스무디 #찰떡구이 #음식 #콜드브루 #아인슈페너 #바닐라라떼 #카페라떼 #스무디 #밀크티 #2022고메페스타 #핸드드립커피 #핸드드립케냐 #핸드드립에티오피아예가체프 #핸드드립콜롬비아슈프리모 #더치커피 #라떼 #차 #에이드 #사과주스 #홍차 #얼그레이 #꽃차",77.1,33
